"member_casual","start_station_name","count_station"
"casual","California Ave & Winona St","186"
"casual","South Shore Dr & 74th St","186"
"casual","Bosworth Ave & Howard St","185"
"casual","Archer (Damen) Ave & 37th St","184"
"casual","Virginia Ave & Catalpa Ave","182"
"casual","Walden Pkwy & 100th St","180"
"casual","Calumet Park","180"
"casual","Eberhart Ave & 61st St","178"
"casual","Perry Ave & 69th St","178"
"casual","Yates Blvd & 75th St","178"
"casual","Public Rack - Midway Orange Line","178"
"casual","Western Ave & Ardmore Ave","177"
"casual","MLK Jr Dr & 63rd St","177"
"casual","Public Rack - Woodlawn Ave & 63rd St N","175"
"casual","Damen Ave/Coulter St","174"
"casual","Cottage Grove Ave & 67th St","172"
"casual","Rockwell St & Cermak Rd","172"
"casual","Indiana Ave & 40th St","171"
"casual","N Clark St & W Elm St","171"
"casual","Sayre & Diversey","170"
"casual","Buckingham - Fountain","168"
"casual","Stony Island Ave & 67th St","166"
"casual","Public Rack - Kostner Ave & Armitage Ave","164"
"casual","California & 16th St","161"
"casual","Public Rack - Washtenaw Ave & Superior St","159"
"casual","Kedzie Ave & 110th St","158"
"casual","Maplewood Ave & Peterson Ave","152"
"casual","Central Park Ave & 24th St","149"
"casual","Commercial Ave & 130th St","149"
"casual","Western Ave & 111th St","148"
"casual","State St & 79th St","146"
"casual","Wentworth Ave & 63rd St","146"
"casual","Jeffery Blvd & 71st St","146"
"casual","Sacramento Blvd & Franklin Blvd","145"
"casual","Millard Ave & 26th St","145"
"casual","Public Rack - Christiana Ave & Belmont Ave","145"
"casual","Public Rack - Milwaukee Ave & Haussen Ct","143"
"casual","Union Ave & Root St","143"
"casual","Washtenaw Ave & Polk St","142"
"casual","Damen Ave & Pershing Rd","141"
"casual","Public Rack - Harold Washington Park","141"
"casual","Lawndale Ave & 30th St","133"
"casual","Princeton Ave & Garfield Blvd","131"
"casual","California Ave & Granville Ave","131"
"casual","Lincoln Ave & Belmont Ave (Temp)","130"
"casual","Western Ave & Lake St","127"
"casual","Damen Ave & Coulter St","126"
"casual","Kedzie Ave & 57th St","124"
"casual","Buckingham Fountain (Columbus/Balbo)","123"
"casual","Kilpatrick Ave & Parker Ave","123"
"casual","Lawndale Ave & 111th St","123"
"casual","Lamon Ave & Belmont Ave","122"
"casual","Kenneth Ave & Lawrence Ave","121"
"casual","St Louis Ave & Norman Bobbins Ave","118"
"casual","Springfield Ave & North Ave","118"
"casual","Stony Island Ave & 64th St","117"
"casual","State St & 54th St","117"
"casual","Lawler Ave & 50th St","116"
"casual","Austin Blvd & Chicago Ave","116"
"casual","Central Park Ave & Ohio St","115"
"casual","Public Rack - Lowell Ave & Elston Ave","115"
"casual","Kostner Ave & Wrightwood Ave","115"
"casual","Marshfield Ave & 44th St","115"
"casual","Karlov Ave & Armitage Ave","115"
"casual","Public Rack - Milwaukee Ave & Higgins Ave","115"
"casual","Washtenaw Ave & Peterson Ave","114"
"casual","Fairfield Ave & 44th St","113"
"casual","Keeler Ave & Carmen Ave","112"
"casual","Public Rack - Monticello Ave & Belmont Ave","110"
"casual","Halsted St & 63rd St","110"
"casual","Fairfield Ave & Roosevelt Rd","109"
